"001CH","Chesire ","Reino Unido ",+003.30,+004.69,"Porción (250 g) ","Vaca Curado ","Smith Farmer","101 "
"051PE","Pecorino","Italia",+006.64,+009.65,"Porción (250 g) ","Oveja Curado","Brilatte","106 "
"052BR","Brinata ","Italia",+004.41,+006.23,"Porción (250 g) ","Oveja Pasta blanda","Spareto ","106 "
"053CA","Cacciota","Italia",+005.88,+008.28,"Porción (250 g) ","Oveja Semicurado","Messado ","106 "
"054GD","Gorgonzola Dolce","Italia",+004.37,+006.23,"Porción (250 g) ","Vaca Curado ","Fontana ","106 "
"055GP","Grana Padano","Italia",+003.93,+005.59,"Porción (250 g) ","Vaca Curado ","Persaletti","106 "
"056MV","Monte Veronese","Italia",+003.13,+004.69,"Porción (250 g) ","Vaca Semicurado ","Il Montrato ","106 "
"057MB","Mozzarella di Bufala","Italia",+004.53,+006.48,"Porción (250 g) ","Búfala Fresco ","Mozza ","106 "
"058MA","Mascarpone","Italia",+002.44,+003.55,"Porción (250 g) ","Vaca Fresco ","Casa Angelo ","106 "
"059MG","Mountain Gorgonzola ","Italia",+003.78,+005.30,"Porción (250 g) ","Vaca Curado ","Antico Mulardi","106 "
"060PR","Parmigiano Reggiano ","Italia",+004.15,+006.23,"Porción (250 g) ","Vaca Añejo","Reggiola","106 "
"061PR","Pecorino Romano ","Italia",+003.79,+005.59,"Porción (250 g) ","Oveja Curado","Rocottino ","106 "
"062PT","Pecorino Toscano","Italia",+003.50,+004.98,"Porción (250 g) ","Oveja Tierno","Toscattino","106 "
"063PR","Provolone ","Italia",+003.49,+004.98,"Porción (250 g) ","Vaca Semicurado ","Rovolati","106 "
"064RA","Raschera","Italia",+003.88,+005.59,"Porción (250 g) ","Vaca Tierno ","Rascoti ","106 "
"065RS","Ricotta Salata","Italia",+002.46,+003.50,"Porción (250 g) ","Oveja Tierno","Ricottina ","106 "
"066TA","Taleggio","Italia",+003.88,+005.59,"Porción (250 g) ","Vaca Pasta blanda ","Techaletti","106 "
"067CH","Cream Havarti ","Dinamarca ",+002.30,+003.43,"Porción (250 g) ","Vaca Tierno ","Laerdale","109 "
"068DB","Danish Crumbly Blue ","Dinamarca ",+002.74,+004.06,"Porción (250 g) ","Vaca Pasta veteada","Maachtrarden","109 "
"069GR","Graddost","Suecia",+002.83,+004.06,"Porción (250 g) ","Vaca Tierno ","Artic circle","110 "
"070SO","St. Olof","Suecia",+002.30,+003.43,"Porción (250 g) ","Vaca Semicurado ","Olofberg","110 "
"071VA","Vadenost","Suecia",+002.52,+003.73,"Porción (250 g) ","Vaca Tierno ","Gjesvald","110 "
"072CA","Cabrales","España",+005.12,+007.48,"Porción (250 g) ","Mixto Pasta veteada ","La Granja ","107 "
"073GA","Garrotxa","España",+006.41,+009.35,"Porción (250 g) ","Cabra Semicurado","Casa Manel","107 "
"074IB","Ibérico ","España",+004.68,+006.84,"Porción (250 g) ","Mixto Curado","El Pastor ","107 "
"075IB","Ibores","España",+005.04,+007.48,"Porción (250 g) ","Cabra Semicurado","Flor de Montaña ","107 "
"076ID","Idiazabal ","España",+005.07,+007.19,"Porción (250 g) ","Oveja Semicurado","Istorki ","107 "
"077MA","Mahón ","España",+003.18,+004.73,"Porción (250 g) ","Vaca Curado ","Illenc","107 "
"078MA","Manchego","España",+002.55,+003.73,"Porción (250 g) ","Oveja Tierno","La Meseta Tierno","108 "
"079MA","Manchego","España",+003.51,+004.98,"Porción (250 g) ","Oveja Semicurado","La Meseta Semi","108 "
"080MA","Manchego","España",+003.95,+005.73,"Porción (250 g) ","Oveja Curado","La Meseta Curado","108 "
"081MA","Manchego","España",+004.96,+006.98,"Porción (250 g) ","Oveja Añejo ","La Meseta Añejo ","108 "
"082QC","Queso de cabra","España",+003.90,+005.50,"Porción (250 g) ","Cabra Añejo ","Bellacabra Añejo","108 "
"083QC","Queso de cabra al vino","España",+004.56,+006.84,"Porción (250 g) ","Cabra Curado","Bellacabra Curado ","108 "
"084TE","Tetilla ","España",+005.02,+007.48,"Porción (250 g) ","Vaca Tierno ","La Gallega","107 "
"085TR","Tronchón","España",+003.41,+004.98,"Porción (250 g) ","Mixto Tierno","El Mañico ","107 "
"086AP","Appenzeller ","Suiza ",+005.76,+008.10,"Porción (250 g) ","Vaca Semicurado ","Farm Appellz","111 "
"087SE","Swiss Emmental","Suiza ",+002.63,+003.73,"Porción (250 g) ","Vaca Semicurado ","Emmeswiss ","111 "
"088SG","Swiss Gruyere ","Suiza ",+003.40,+004.98,"Porción (250 g) ","Vaca Semicurado ","Goldener","111 "
"089TM","Tête de Moine ","Suiza ",+006.15,+009.15,"Porción (250 g) ","Vaca Curado ","Les Moinettes ","111 "
"090VI","Vignerons ","Suiza ",+006.25,+009.35,"Porción (250 g) ","Vaca Añejo","Frognerons","111 "
"091HF","Humboldt Fog","Estados Unidos",+008.28,+012.08,"Porción (250 g) ","Cabra Semicurado","The Old Farm Goat ","112 "
"092KV","Knight's Vail ","Estados Unidos",+005.18,+007.48,"Porción (250 g) ","Vaca Semicurado ","The Old Farm Cow","112 "
"093BU","Burgos","España",+001.73,+002.48,"Porción (250 g) ","Vaca Fresco ","La Vaquería ","107 "
"094VS","Vermont Shepherd","Estados Unidos",+004.37,+006.23,"Porción (250 g) ","Oveja Semicurado","The Old Farm Sheep","112 "
"095CC","Canadian Chevre ","Canadá",+002.98,+004.25,"Porción (250 g) ","Cabra Pasta blanda","The Northness ","112 "
"096GB","Goat's Irish Boile","Irlanda ",+004.44,+006.23,"Porción (250 g) ","Cabra Tierno","The Irish Goat","113 "
"097CB","Cow's Irish Boile ","Irlanda ",+003.39,+004.98,"Porción (250 g) ","Vaca Tierno ","The Irish Cow ","113 "
"098IC","Irish Carrigaline ","Irlanda ",+004.30,+006.23,"Porción (250 g) ","Vaca Semicurado ","Irche ","113 "
"099IB","Irish Blue","Irlanda ",+006.32,+008.93,"Porción (250 g) ","Vaca Pasta veteada","Blue Farmer ","113 "
"100MC","Irish Mature Coolea ","Irlanda ",+006.68,+009.98,"Porción (250 g) ","Vaca Añejo","The William's ","113 "
"101BB","Paladin Bavarian Blue ","Alemania",+002.86,+004.25,"Porción (250 g) ","Vaca Pasta veteada","Bavaresse ","114 "
"102RB","Roaring Forties Blue","Australia ",+004.17,+006.23,"Porción (250 g) ","Vaca Pasta veteada","Oricheese ","115 "
"103ST","Seal Bay Triple Cream ","Australia ",+004.38,+006.23,"Porción (250 g) ","Vaca Pasta blanda ","Triplecheese","115 "
"104DP","Dark Panforte ","Italia",+005.00,+007.29,"Unidad","Bizcochos ","Il Panetonne (Dark) ","201 "
"105WP","White Panforte","Italia",+004.75,+006.95,"Unidad","Bizcochos ","Il Panetonne (White)","201 "
"106BB","Brutti e Buoni","Italia",+005.55,+007.95,"Caja","Pastas de almendra","Casale di la Mamma","201 "
"107CB","Cantucci Biscotti ","Italia",+004.25,+006.35,"Caja","Pastas de té","Casale di la Mamma","201 "
"108CA","Carquiñolis ","España",+003.68,+005.40,"Caja","Pastas de almendra","Antiga Masia","202 "
"109EM","Empiñonadas ","España",+002.64,+003.75,"Caja","Dulces de Navidad ","La Tradición","202 "
"110AR","Almendras rellenas","España",+003.34,+004.75,"Caja","Dulces de Navidad ","La Tradición","202 "
"111HS","Huesos de Santo ","España",+002.85,+004.25,"Caja","Dulces de Navidad ","San Rafael","202 "
"112PE","Polvorones de Estepa","España",+006.68,+009.90,"Caja","Dulces de Navidad ","San Rafael","202 "
"113TJ","Turrón de Jijona","España",+004.61,+006.75,"Unidad","Dulces de Navidad ","Saga Antigua","202 "
"114TA","Turrón de Alicante","España",+004.80,+006.75,"Unidad","Dulces de Navidad ","Saga Antigua","202 "
"115SP","Sobaos Pasiegos ","España",+003.48,+005.00,"Caja","Bollería","La Estepa ","202 "
"116QP","Quesada Pasiega ","España",+003.07,+004.50,"Caja","Bollería","La Estepa ","202 "
"117PM","Pastas Caseras de las Monjas Benedictinas ","España",+005.00,+007.25,"Caja","Pastas de té","La Tradición","202 "
"118AM","Almendrados de las Monjas Clarisas","España",+004.94,+007.00,"Caja","Pastas de almendra","La Tradición","202 "
"119AM","Amarguillos de las Monjas Clarisas","España",+004.85,+007.00,"Caja","Bollería","La Tradición","202 "
"120CA","Cavallucci","Italia",+004.01,+005.95,"Caja","Pastas de té","Casale di la Mamma","201 "
"121GA","Galettes","Francia ",+002.43,+003.50,"Caja","Galletas de mantequilla ","La Mère Marie ","203 "
"122TI","Tiramisú","Italia",+005.71,+008.25,"Unidad","Tartas","Casale di la Mamma","201 "
"123CB","Chocolate Bars","Reino Unido ",+002.74,+003.99,"Caja","Galletas de chocolate ","Factory Chocolate ","204 "
"124TT","Tarte Tatin ","Francia ",+004.04,+005.95,"Unidad","Tartas","La Mère Marie ","203 "
"125CT","Chocolate Truffle ","Reino Unido ",+002.76,+003.95,"Caja","Galletas de chocolate ","Factory Chocolate ","204 "
"126MC","Maple Sugar Cookies ","Canadá",+003.95,+005.75,"Caja","Pastas de té","The Canadian","204 "
"127BC","Bourbon Creams","Reino Unido ",+002.24,+003.25,"Caja","Galletas de chocolate ","Factory Cream ","204 "
"128CC","Custard Creams","Reino Unido ",+002.17,+003.25,"Caja","Pastas de té","Factory Cream ","204 "
"129JR","Jam Rings ","Reino Unido ",+002.35,+003.50,"Caja","Galletas de fruta ","Factory Fruit ","204 "
"130SH","Shortcake ","Reino Unido ",+002.48,+003.50,"Caja","Galletas de mantequilla ","Factory Butter","204 "
"131RT","Rich Tea Biscuits ","Reino Unido ",+002.34,+003.50,"Caja","Pastas de té","Factory Tea ","204 "
"132DC","Dark Chocolate Digestives ","Reino Unido ",+002.47,+003.50,"Caja","Galletas de chocolate ","Factory Chocolate ","204 "
"133LP","Lemon Puff","Reino Unido ",+001.40,+002.00,"Caja","Galletas de fruta ","Factory Lemon ","204 "
"134TR","Tinto Reserva 93","España",+006.72,+012.65,"Botella ","D.O. Rioja-Tinto","Conde Duque Alvarez ","301 "
"135TR","Tinto Reserva 94","España",+008.24,+015.74,"Botella ","D.O. Rioja-Tinto","Conde Duque Alvarez ","301 "
"136TR","Tinto Reserva 95","España",+011.56,+022.90,"Botella ","D.O. Rioja-Tinto","Conde Duque Alvarez ","301 "
"137TR","Tinto Reserva 96","España",+016.00,+025.75,"Botella ","D.O. Rioja-Tinto","Conde Duque Alvarez ","301 "
"138TC","Tinto Crianza 94","España",+005.14,+009.04,"Botella ","D.O. Rioja-Tinto","Conde Duque Alvarez ","301 "
"139TC","Tinto Crianza 95","España",+004.20,+007.01,"Botella ","D.O. Rioja-Tinto","Conde Duque Alvarez ","301 "
"140TC","Tinto Crianza 96","España",+004.10,+007.51,"Botella ","D.O. Rioja-Tinto","Conde Duque Alvarez ","301 "
"141TC","Tinto Crianza 97","España",+007.02,+012.02,"Botella ","D.O. Rioja-Tinto","Conde Duque Alvarez ","301 "
"142TG","Tinto Gran Reserva 82 ","España",+014.58,+027.63,"Botella ","D.O. Rioja-Tinto","Marqués de Albiñana ","302 "
"143TG","Tinto Gran Reserva 82 ","España",+015.95,+027.90,"Botella ","D.O. Rioja-Tinto","Marqués de Albiñana ","302 "
"144TG","Tinto Gran Reserva 89 ","España",+010.64,+019.41,"Botella ","D.O. Rioja-Tinto","Marqués de Albiñana ","302 "
"145TG","Tinto Gran Reserva 91 ","España",+007.86,+015.02,"Botella ","D.O. Rioja-Tinto","Marqués de Albiñana ","302 "
"146TG","Tinto Gran Reserva 93 ","España",+007.28,+013.85,"Botella ","D.O. Rioja-Tinto","Marqués de Albiñana ","302 "
"147TG","Tinto Gran Reserva 89 ","España",+011.56,+021.33,"Botella ","D.O. Rioja-Tinto","Marqués de Albiñana ","302 "
"148TG","Tinto Gran Reserva 89 ","España",+010.16,+016.28,"Botella ","D.O. Rioja-Tinto","Marqués de Albiñana ","302 "
"149TG","Tinto Gran Reserva 91 ","España",+006.76,+012.87,"Botella ","D.O. Rioja-Tinto","Marqués de Albiñana ","302 "
"150TR","Tinto Reserva 95","España",+005.52,+008.90,"Botella ","D.O. Rioja-Tinto","Hermanos Alvarez","302 "
"151TR","Tinto Reserva 95","España",+006.11,+011.60,"Botella ","D.O. Rioja-Tinto","Conde Tomás de Ribera ","301 "
"152TR","Tinto Reserva 95","España",+017.24,+029.81,"Botella ","D.O. Rioja-Tinto","Viña Selecta","304 "
"153TR","Tinto Reserva 95","España",+007.86,+014.16,"Botella ","D.O. Rioja-Tinto","Ribera de Afluente","303 "
"154TR","Tinto Reserva 95","España",+004.66,+007.60,"Botella ","D.O. Rioja-Tinto","El Señorío","303 "
"155TR","Tinto Reserva 95","España",+004.24,+008.36,"Botella ","D.O. Rioja-Tinto","Conde de Salvatierra","302 "
"156TR","Tinto Reserva 95","España",+003.64,+006.26,"Botella ","D.O. Rioja-Tinto","Valselecto","303 "
"157TR","Tinto Reserva 95","España",+008.89,+017.28,"Botella ","D.O. Rioja-Tinto","Rodriguez del Duero ","303 "
"158TR","Tinto Reserva 95","España",+006.67,+011.45,"Botella ","D.O. Rioja-Tinto","Señorío de San Gervasio ","306 "
"159TR","Tinto Reserva 95","España",+005.10,+010.00,"Botella ","D.O. Rioja-Tinto","Valle de la Ribera","302 "
"160TR","Tinto Reserva 95","España",+005.69,+010.30,"Botella ","D.O. Rioja-Tinto","Condado del Señorío ","306 "
"161TR","Tinto Reserva 95","España",+010.69,+019.38,"Botella ","D.O. Rioja-Tinto","Hermanos de la Fuente ","303 "
"162TR","Tinto Reserva 93","España",+004.18,+007.99,"Botella ","D.O. Rioja-Tinto","Rodriguez del Duero ","303 "
"163TR","Tinto Reserva 94","España",+007.55,+014.31,"Botella ","D.O. Rioja-Tinto","Viña Selecta","304 "
"164TR","Tinto Reserva 94","España",+004.63,+009.04,"Botella ","D.O. Rioja-Tinto","Ribera de Afluente","302 "
"165TR","Tinto Reserva 94","España",+004.34,+008.05,"Botella ","D.O. Rioja-Tinto","El Señorío","306 "
"166TR","Tinto Reserva 94","España",+005.08,+009.40,"Botella ","D.O. Rioja-Tinto","Conde de Salvatierra","302 "
"167TR","Tinto Reserva 94","España",+006.45,+012.68,"Botella ","D.O. Rioja-Tinto","Señorío de San Gervasio ","306 "
"168TR","Tinto Reserva 96","España",+007.89,+014.24,"Botella ","D.O. Rioja-Tinto","Señorío de San Gervasio ","306 "
"169TR","Tinto Reserva 95","España",+005.30,+009.30,"Botella ","D.O. Rioja-Tinto","Conde de Salvatierra","302 "
"170TC","Tinto Crianza 96","España",+003.40,+005.79,"Botella ","D.O. Rioja-Tinto","Viña Selecta","304 "
"171TC","Tinto Crianza 96","España",+002.69,+005.37,"Botella ","D.O. Rioja-Tinto","Ribera de Afluente","302 "
"172TC","Tinto Crianza 96","España",+004.02,+007.57,"Botella ","D.O. Rioja-Tinto","El Señorío","306 "
"173TG","Tinto Gran Reserva 82 ","España",+019.84,+038.73,"Botella ","D.O. Rioja-Tinto","Don Mendival","304 "
"174CS","Cabernet Sauvignon Gran Reserva Esp. 79 ","España",+011.04,+017.90,"Botella ","D.O. Penedés-Tinto","Bodegas Don Emilio","305 "
"175CS","Cabernet Sauvignon Reserva 93 ","España",+005.97,+010.90,"Botella ","D.O. Penedés-Tinto","Bodegas Don Emilio","305 "
"176TR","Tinto Reserva 94","España",+006.50,+011.75,"Botella ","D.O. Penedés-Tinto","Bodegas Don Emilio","305 "
"177TS","Tinto Reserva 95","España",+005.23,+009.90,"Botella ","D.O. Penedés-Tinto","Bodegas Don Emilio","305 "
"178CH","Chardonnay 97 ","España",+007.84,+012.90,"Botella ","D.O. Penedés-Blanco ","Viña Selección","305 "
"179CH","Chardonnay 98 ","España",+004.92,+007.90,"Botella ","D.O. Penedés-Blanco ","Viña Selección","305 "
"180CH","Chardonnay 97 ","España",+006.88,+012.90,"Botella ","D.O. Penedés-Blanco ","Viña Selección","305 "
"181TR","Tinto Reserva 94","España",+006.71,+011.12,"Botella ","D.O. Somontano-Tinto","Bodegas de Aragón ","307 "
"182TR","Tinto Reserva 94","España",+004.46,+008.11,"Botella ","D.O. Somontano-Tinto","Bodegas de Aragón ","307 "
"183CS","Cabernet Sauvignon 96 ","España",+006.64,+011.12,"Botella ","D.O. Somontano-Blanco ","Bodegas de Aragón ","307 "
"184TR","Tinto Reserva 95","España",+006.42,+011.05,"Botella ","D.O. Somontano-Tinto","Bodegas de Aragón ","307 "
"185TC","Tinto Crianza 96","España",+003.60,+006.20,"Botella ","D.O. Somontano-Tinto","Bodegas de Aragón ","307 "
"186CH","Chardonnay 97 ","España",+002.68,+005.11,"Botella ","D.O. Somontano-Blanco ","Bodegas de Aragón ","307 "
"187CH","Chardonnay 98 ","España",+003.97,+007.62,"Botella ","D.O. Somontano-Blanco ","Bodegas de Aragón ","307 "
"188CB","Chardonnay en barrica 97","España",+005.92,+010.51,"Botella ","D.O. Somontano-Blanco ","Bodegas de Aragón ","307 "
"189ME","Merlot 97 ","Estados Unidos",+006.93,+011.25,"Botella ","D.O. Napa-Tinto ","Golden Vineyards","318 "
"190CH","Chardonnay 98 ","Estados Unidos",+006.68,+012.50,"Botella ","D.O. Napa-Blanco","Golden Vineyards","318 "
"191CB","Chenin Blanc 97 ","Estados Unidos",+007.83,+013.00,"Botella ","D.O. Napa-Blanco","Golden Vineyards","318 "
"192ME","Merlot 97 ","Estados Unidos",+007.53,+014.35,"Botella ","D.O. Napa-Tinto ","Golden Vineyards","318 "
"193CB","Chenin Blanc 98 ","Estados Unidos",+007.78,+015.25,"Botella ","D.O. Napa-Blanco","Golden Vineyards","318 "
"194SB","Sauvignon Blanc 98","Estados Unidos",+009.95,+016.25,"Botella ","D.O. Napa-Blanco","Golden Vineyards","318 "
"195SB","Sauvignon Blanc 96","Estados Unidos",+009.31,+017.25,"Botella ","D.O. Napa-Blanco","Golden Vineyards","318 "
"196CS","Cabernet Sauvignon 96 ","Estados Unidos",+010.66,+018.60,"Botella ","D.O. Napa-Blanco","Golden Vineyards","318 "
"197SE","Semillon 97 ","Estados Unidos",+005.90,+009.90,"Botella ","D.O. Napa-Blanco","Old Vine Cellars","319 "
"198ZI","Zinfandel 98","Estados Unidos",+011.05,+021.25,"Botella ","D.O. Napa-Blanco","Old Vine Cellars","319 "
"199GR","Grenache 96 ","Estados Unidos",+012.34,+022.40,"Botella ","D.O. Napa-Blanco","Old Vine Cellars","319 "
"200ZI","Zinfandel 96","Estados Unidos",+013.94,+024.25,"Botella ","D.O. Napa-Blanco","Old Vine Cellars","319 "
"201ZI","Zinfandel 97","Estados Unidos",+012.39,+023.50,"Botella ","D.O. Napa-Blanco","Old Vine Cellars","319 "
"202CH","Chardonnay 97 ","Estados Unidos",+015.24,+024.40,"Botella ","D.O. Napa-Blanco","Old Vine Cellars","319 "
"203SG","Sangiovese 97 ","Estados Unidos",+013.57,+023.00,"Botella ","D.O. Napa-Blanco","Robert F. Cellars ","320 "
"204CH","Chardonnay 97 ","Estados Unidos",+013.09,+023.10,"Botella ","D.O. Napa-Blanco","Robert F. Cellars ","320 "
"205CS","Cabernet Sauvignon 97 ","Estados Unidos",+013.87,+025.30,"Botella ","D.O. Napa-Blanco","Robert F. Cellars ","320 "
"206ZI","Zinfandel 97","Estados Unidos",+011.57,+022.50,"Botella ","D.O. Napa-Rosado","Cuvee Chapel","320 "
"207PN","Pinot Noir 97 ","Estados Unidos",+014.60,+024.00,"Botella ","D.O. Napa-Tinto ","West Vineyards","321 "
"208ME","Merlot 97 ","Estados Unidos",+016.30,+026.20,"Botella ","D.O. Napa-Tinto ","West Vineyards","321 "
"209ME","Merlot 98 ","Estados Unidos",+016.12,+027.00,"Botella ","D.O. Napa-Tinto ","West Vineyards","321 "
"210PN","Pinot Noir 97 ","Estados Unidos",+013.79,+026.50,"Botella ","D.O. Napa-Tinto ","West Vineyards","321 "
"211CH","Chardonnay 98 ","Estados Unidos",+016.41,+027.10,"Botella ","D.O. Napa-Blanco","West Vineyards","321 "
"212CF","Cabernet Franc 97 ","Estados Unidos",+014.62,+026.85,"Botella ","D.O. Napa-Blanco","West Vineyards","321 "
"213CS","Cabernet Sauvignon 98 ","Estados Unidos",+013.59,+024.30,"Botella ","D.O. Napa-Blanco","West Vineyards","321 "
"214ME","Merlot 97 ","Estados Unidos",+015.05,+027.45,"Botella ","D.O. Napa-Tinto ","West Vineyards","321 "
"215ME","Reserve Chardonnay 97 ","Estados Unidos",+018.54,+029.95,"Botella ","D.O. Napa-Blanco","West Vineyards","321 "
"216SG","Sangiovese 96 ","Estados Unidos",+016.77,+028.35,"Botella ","D.O. Napa-Blanco","West Vineyards","321 "
"217CH","Chardonnay 98 ","Estados Unidos",+017.73,+031.00,"Botella ","D.O. Napa-Blanco","West Vineyards","321 "
"218SY","Syrah 97","Estados Unidos",+016.89,+032.45,"Botella ","D.O. Napa-Blanco","West Vineyards","321 "
"219SY","Syrah 96","Estados Unidos",+018.28,+031.50,"Botella ","D.O. Napa-Blanco","West Vineyards","321 "
"220PN","Pinot Noir 98 ","Estados Unidos",+017.13,+033.65,"Botella ","D.O. Napa-Tinto ","Old House Cellar","319 "
"221CH","Chardonnay 98 ","Estados Unidos",+018.65,+033.20,"Botella ","D.O. Napa-Blanco","Old House Cellar","319 "
"222FB","Fumé Blanc Reserve 97 ","Estados Unidos",+020.17,+034.75,"Botella ","D.O. Napa-Blanco","Old House Cellar","319 "
"223ZI","Zinfandel 97","Estados Unidos",+018.32,+035.45,"Botella ","D.O. Napa-Rosado","Old House Cellar","319 "
"224ME","Merlot 96 ","Estados Unidos",+020.88,+036.50,"Botella ","D.O. Napa-Tinto ","Old House Cellar","319 "
