"304 ","Bebidas Selección ","Iñigo Elizalde","Serrano, 456, Madrid 28011, España","915629065",90,,,"Global "
"305 ","Cooperativa del Penedés ","Jordi Comte ","C/ París 161 08023 Barcelona, España","933450011",30,,,"Global "
"306 ","Bodegas San Gervasio","Xavier Gonzalez ","V. Favencia 2 08024 Barcelona,España","932129865",30,,,"Global "
"307 ","Compañía Vinícola, S.A. ","Mercedes Salvatella ","Granvía de Les Corts Catalanes 89 08024 Barcelona, España ","934507651",30,,,"Global "
"308 ","Bodegas Ferrer","Montserrat Vila ","C/ Palencia 122 08024 Barcelona, España ","937665421",30,,,"Global "
"309 ","Bodegas de Aragón ","Eugenia Marti ","C/ Valencia 93 08024 Barcelona, España","932129000",30,,,"Global "
"310 ","Cia. De Licores, S.A. ","Carles Vilaseca ","C/ Concilio de Trento 111 08024 Barcelona, España ","939232323",30,,,"Global "
"311 ","Domaine Imperiale ","Marie Bontemps","123 Boulevard Raspail , 75003 Poissy, France","23238989 ",90,,,"Global "
"312 ","Societe Viticole","Jean-Louis Pagnon ","90 Rue du Montparnasse , 72001 Paris, France","98549053 ",90,,,"Global "
"313 ","Chateau d'Or","Julie Deschamps ","3 Avenue Georges , 25003 Lyon, France ","88902682 ",90,,,"Global "
"314 ","Domaine Bourgogne ","Philippe Clemenceau ","52 Rue Gay-Lussac ,35003 Lyon, France ","78929928 ",30,,,"Global "
"315 ","Domaine Bourdeaux ","Michel Lemaire","55 Rue de la Pompe , 95003 Bordeaux, France ","29945732 ",30,,,"Global "
"316 ","Cellier Alsace","Denis Felix ","10 Avenue de Caroline , 93021 Bordeaux, France","78992726 ",30,,,"Global "
"317 ","English Long Drink Company","Charles Spencer ","456 Broadgate Circle (Liverpool St.) ,London SW4","7794527",90,,,"Global "
"318 ","Golden Vineyards Company","Juan Rodríguez","4701 Oakes Rd  San Jose, CA 12020, USA","9457727",30,,,"Global "
"319 ","Napa Old Vine Cellars ","Mary Ann Smith","2732 SW 137th Ave  Davie, OR 8302, USA","5558779",30,,,"Global "
"320 ","Robert F. Cellars ","Paul Stevenson","222 NE 67th St  New York City, NY 11203, USA","5559806",90,,,"Global "
"321 ","The Company of West Vineyards ","Ricky Castro","1301 NE 4th Ave  Boca Raton, FL 33030, USA","8876445",30,,,"Global "
"322 ","West Cellars Company","Martin Bates","6242 E Oakland Park Blvd  Sunrise, IL 93031,USA ","6707789",30,,,"Global "
"323 ","Ernst Kuster Wine Company ","Bettina Rassmann","Kohlstrasse 900, München, Germany ","98677778 ",30,,,"Global "
"324 ","Kees Wineyards","Andrew Schnell","Am Moosfeld 95, Berlin, Germany ","99876433 ",30,,,"Global "
"325 ","Australian Cellars Company","Benjamin Lynn ","97 Food Street, Maryland NSW 2234 Australi","9887556",30,,,"Global "
"326 ","Vineyards of Australia Inc. ","Silvia O'Callaghan","56 White Road, Kariong NSW 3422 Australia ","6544342",30,,,"Global "
"327 ","Francis Jr. Cellars ","Greg Foster ","12 American Dr, St Pauls NSW 2111 Australia ","5568990",30,,,"Global "
"328 ","Atlas Vineyard","Donald Foley","34 Coupar Av , Sydney NSW 1001Australia ","3346678",30,,,"Global "
"329 ","Compañía del Valle Montemar ","Gregorio Sullivan ","Salud, 21 Santiago 45901 Chile","6657888",15,,,"Global "
